applicant_gender,total_income,income_type,education_type,family_status,job_title,applicant_age,years_of_working,total_bad_debt,total_good_debt,status
Unknown,112500,Commercial Associate,Unknown,Civil Marriage,Unknown,29,9,0,8,1
Unknown,184500,Working,Higher Education,Unknown,Core Staff,40,13,0,1,1
Female,225000,Working,Secondary / Secondary Special,Unknown,Medicine Staff,52,9,0,18,1
Female,180000,Unknown,Secondary / Secondary Special,Married,Unknown,50,9,0,16,1
Unknown,171000,Unknown,Higher Education,Separated,Unknown,40,7,0,18,1
Female,126000,Unknown,Secondary / Secondary Special,Married,Unknown,39,7,0,11,1
Female,112500,Unknown,Unknown,Married,Laborers,42,16,0,18,1
Unknown,135000,State Servant,Unknown,Married,Unknown,57,26,0,18,1
Unknown,157500,Unknown,Secondary / Secondary Special,Unknown,Security Staff,40,1,0,18,1
Male,135000,Unknown,Unknown,Married,Unknown,33,10,0,20,1
Female,157500,State Servant,Secondary / Secondary Special,Unknown,Cleaning Staff,40,7,0,20,1
Female,67500,State Servant,Higher Education,Unknown,High Skill Tech Staff,40,7,0,18,1
Unknown,225000,Unknown,Secondary / Secondary Special,Unknown,Laborers,29,6,0,18,1
Male,180000,Working,Incomplete Higher,Married,Laborers,47,7,0,45,1
Female,112500,Unknown,Unknown,Married,Core Staff,38,6,0,18,1
Male,247500,Unknown,Higher Education,Married,Core Staff,40,7,0,4,1
Unknown,112500,Unknown,Higher Education,Unknown,Core Staff,29,7,0,18,1
Unknown,171000,Working,Unknown,Married,Unknown,51,11,0,18,1
Female,108000,Working,Unknown,Married,Low-Skill Laborers,55,7,0,18,1
Unknown,360000,Unknown,Secondary / Secondary Special,Single / Not Married,Unknown,40,21,0,18,1
Female,135000,Commercial Associate,Higher Education,Unknown,Core Staff,25,7,0,18,1
Female,144000,Working,Secondary / Secondary Special,Married,Cooking Staff,34,6,0,5,1
Unknown,337500,Unknown,Unknown,Married,Laborers,40,2,1,18,1
Male,202500,Unknown,Unknown,Married,Unknown,40,3,0,8,1
Female,360000,Unknown,Secondary / Secondary Special,Unknown,Accountants,46,7,0,60,1
Unknown,180000,Working,Higher Education,Civil Marriage,Unknown,40,6,0,18,1
Unknown,81000,Commercial Associate,Higher Education,Unknown,Unknown,40,7,1,2,1
Unknown,112500,Working,Incomplete Higher,Unknown,Unknown,40,7,0,18,1
Unknown,297000,Commercial Associate,Secondary / Secondary Special,Unknown,Laborers,40,7,0,18,1
Unknown,135000,Working,Unknown,Unknown,Managers,55,7,0,26,1
Unknown,171261,State Servant,Secondary / Secondary Special,Single / Not Married,Medicine Staff,27,2,0,20,1
Female,405000,Unknown,Unknown,Civil Marriage,Accountants,55,1,0,18,1
Female,112500,Unknown,Higher Education,Unknown,Unknown,40,6,0,18,1
Female,112500,Working,Secondary / Secondary Special,Single / Not Married,Unknown,23,4,0,17,1
Female,112500,Unknown,Unknown,Married,Unknown,37,18,0,25,1
Male,202500,Working,Unknown,Unknown,Laborers,52,7,2,40,1
Female,297000,Commercial Associate,Secondary / Secondary Special,Single / Not Married,Laborers,43,9,0,18,1
Female,225000,Commercial Associate,Secondary / Secondary Special,Unknown,Unknown,34,1,0,18,1
Unknown,180000,Unknown,Unknown,Civil Marriage,Unknown,40,9,0,7,1
Unknown,112500,Unknown,Unknown,Civil Marriage,Drivers,40,3,0,50,1
Unknown,157500,Working,Higher Education,Unknown,Sales Staff,36,7,0,18,1
Unknown,157500,Unknown,Unknown,Unknown,Unknown,40,3,0,6,1
Female,135000,Commercial Associate,Unknown,Unknown,Laborers,40,7,0,18,1
Unknown,135000,Working,Secondary / Secondary Special,Separated,Unknown,40,3,0,39,1
Unknown,360000,Commercial Associate,Higher Education,Unknown,Unknown,41,7,0,18,1
Unknown,225000,State Servant,Unknown,Married,High Skill Tech Staff,30,5,0,30,1
Female,157500,Unknown,Secondary / Secondary Special,Married,Unknown,51,20,0,24,1
Male,225000,Working,Unknown,Single / Not Married,Unknown,40,8,3,18,1
Female,171000,Unknown,Unknown,Married,Core Staff,41,4,0,17,1
Unknown,315000,Unknown,Unknown,Married,Managers,59,15,0,18,1
Female,157500,Working,Higher Education,Married,High Skill Tech Staff,36,6,0,41,1
Unknown,135000,Working,Unknown,Married,Unknown,44,6,0,18,1
Unknown,270000,Working,Higher Education,Married,Sales Staff,29,7,0,18,1
Male,157500,Working,Secondary / Secondary Special,Married,Unknown,36,7,0,18,1
Unknown,292500,Commercial Associate,Secondary / Secondary Special,Civil Marriage,Unknown,49,7,0,5,1
Female,216000,Unknown,Secondary / Secondary Special,Unknown,Managers,40,10,0,5,1
Unknown,450000,State Servant,Unknown,Unknown,Unknown,40,16,0,7,1
Female,112500,Working,Secondary / Secondary Special,Unknown,Unknown,40,7,0,18,1
Unknown,247500,Commercial Associate,Secondary / Secondary Special,Unknown,Unknown,40,7,0,14,1
Male,360000,Commercial Associate,Unknown,Married,Laborers,40,2,0,18,1
Female,135000,Working,Unknown,Unknown,Sales Staff,40,7,0,54,1
Unknown,72000,Working,Secondary / Secondary Special,Widow,Unknown,55,7,0,6,1
Unknown,270000,Working,Secondary / Secondary Special,Married,Laborers,33,2,0,18,1
Male,112500,Working,Secondary / Secondary Special,Unknown,Unknown,32,7,0,18,1
Female,135000,State Servant,Unknown,Unknown,Laborers,50,16,0,18,1
Male,225000,Working,Secondary / Secondary Special,Unknown,Unknown,24,2,0,5,1
Unknown,180000,Working,Higher Education,Unknown,Unknown,43,8,0,18,1
Female,225000,Unknown,Higher Education,Unknown,Sales Staff,30,1,0,18,1
Female,81000,Working,Secondary / Secondary Special,Married,Unknown,40,21,0,18,1
Unknown,135000,State Servant,Secondary / Secondary Special,Married,Core Staff,40,17,0,7,1
Unknown,135000,Working,Secondary / Secondary Special,Married,Managers,40,21,0,30,1
Unknown,112500,Commercial Associate,Unknown,Unknown,Medicine Staff,53,4,0,17,1
Female,112500,Working,Higher Education,Married,Unknown,40,2,0,18,1
Male,144000,Working,Unknown,Civil Marriage,Security Staff,47,6,1,5,1
Female,135000,Commercial Associate,Higher Education,Married,Managers,40,7,0,39,1
Female,180000,Unknown,Unknown,Unknown,Unknown,40,7,0,8,1
Female,112500,Working,Unknown,Single / Not Married,Unknown,45,6,0,44,1
Unknown,202500,Unknown,Secondary / Secondary Special,Unknown,Security Staff,57,1,0,8,1
Male,225000,Commercial Associate,Unknown,Married,Unknown,48,1,0,6,1
Unknown,180000,Working,Secondary / Secondary Special,Unknown,Unknown,40,12,0,18,1
Female,135000,Commercial Associate,Secondary / Secondary Special,Married,Medicine Staff,40,7,0,18,1
Female,112500,Commercial Associate,Higher Education,Civil Marriage,Unknown,29,9,0,13,1
Unknown,180000,Unknown,Higher Education,Married,Unknown,42,6,0,10,1
Female,130500,Working,Unknown,Married,Unknown,40,26,0,18,1
Unknown,292500,Commercial Associate,Secondary / Secondary Special,Married,Laborers,43,7,0,18,1
Female,225000,Commercial Associate,Higher Education,Married,Unknown,40,7,1,5,1
Female,297000,Commercial Associate,Secondary / Secondary Special,Single / Not Married,Laborers,43,7,0,16,1
Unknown,315000,Unknown,Unknown,Married,Unknown,38,10,0,18,1
Unknown,90000,Working,Secondary / Secondary Special,Unknown,Core Staff,52,7,0,38,1
Female,315000,Working,Higher Education,Unknown,Medicine Staff,36,7,0,32,1
Female,67500,Unknown,Secondary / Secondary Special,Unknown,Unknown,40,1,0,14,1
Male,225000,Unknown,Higher Education,Unknown,Sales Staff,28,7,0,15,1
Male,135000,Unknown,Higher Education,Unknown,Managers,33,7,0,22,1
Female,90000,Working,Secondary / Secondary Special,Single / Not Married,Laborers,29,3,0,12,1
Female,112500,Unknown,Unknown,Married,Core Staff,41,2,0,50,1
Unknown,180000,Commercial Associate,Secondary / Secondary Special,Married,Unknown,39,7,0,18,1
Female,112500,State Servant,Unknown,Widow,Secretaries,40,7,0,31,1
Female,157500,Unknown,Secondary / Secondary Special,Married,Core Staff,40,9,0,37,1
Female,135000,Unknown,Higher Education,Married,Sales Staff,40,3,0,7,1
Male,247500,Working,Unknown,Unknown,Unknown,39,7,0,5,1
Unknown,202500,Unknown,Higher Education,Married,Unknown,36,4,0,22,1
Unknown,180000,Commercial Associate,Higher Education,Separated,Core Staff,29,7,0,18,1
Female,135000,Working,Secondary / Secondary Special,Unknown,Core Staff,38,7,0,12,1
Unknown,90000,Unknown,Secondary / Secondary Special,Married,Unknown,54,7,0,18,1
Unknown,135000,Commercial Associate,Secondary / Secondary Special,Unknown,Unknown,31,3,0,6,1
Unknown,292500,Unknown,Higher Education,Single / Not Married,Laborers,39,7,8,18,1
Male,135000,Working,Secondary / Secondary Special,Unknown,Unknown,41,7,0,18,1
Unknown,180000,Commercial Associate,Secondary / Secondary Special,Single / Not Married,Private Service Staff,32,4,0,44,1
Unknown,135000,Commercial Associate,Secondary / Secondary Special,Married,Unknown,31,7,0,2,1
Female,202500,Working,Secondary / Secondary Special,Married,High Skill Tech Staff,54,18,1,18,1
Male,225000,Working,Unknown,Married,Unknown,40,3,0,18,1
Unknown,112500,Unknown,Secondary / Secondary Special,Single / Not Married,Sales Staff,25,4,0,18,1
Female,225000,Unknown,Unknown,Civil Marriage,Private Service Staff,40,7,0,10,1
Unknown,90000,Working,Unknown,Married,High Skill Tech Staff,36,11,0,32,1
Female,270000,State Servant,Secondary / Secondary Special,Civil Marriage,Medicine Staff,35,7,0,9,1
Unknown,153000,Unknown,Secondary / Secondary Special,Married,Laborers,40,7,1,20,1
Male,202500,Commercial Associate,Unknown,Married,Drivers,43,5,0,38,1
Male,126000,Working,Unknown,Single / Not Married,Core Staff,35,7,3,10,1
Unknown,157500,Unknown,Unknown,Unknown,Unknown,40,7,0,5,1
Unknown,180000,Unknown,Secondary / Secondary Special,Married,Laborers,38,2,0,14,1
Unknown,202500,Unknown,Secondary / Secondary Special,Married,Unknown,51,7,0,18,1
Female,189000,Working,Unknown,Unknown,Unknown,30,8,0,15,1
Female,337500,Unknown,Secondary / Secondary Special,Unknown,Unknown,40,5,0,19,1
Female,74250,Unknown,Higher Education,Separated,Core Staff,53,7,0,35,1
Male,270000,Unknown,Secondary / Secondary Special,Unknown,Core Staff,34,7,0,38,1
Female,135000,Working,Unknown,Unknown,Unknown,37,7,0,1,1
Female,283500,Commercial Associate,Secondary / Secondary Special,Married,Private Service Staff,49,7,0,3,1
Male,405000,Unknown,Secondary / Secondary Special,Married,Managers,40,7,0,15,0
Female,90000,Unknown,Unknown,Unknown,Medicine Staff,40,2,0,10,1
Female,135000,Working,Secondary / Secondary Special,Married,Unknown,40,3,0,18,1
Unknown,126000,Working,Unknown,Unknown,Laborers,63,7,0,18,1
Unknown,135000,Unknown,Secondary / Secondary Special,Single / Not Married,Sales Staff,40,2,0,18,1
Female,157500,Unknown,Unknown,Unknown,Managers,51,7,0,18,1
Male,292500,Working,Secondary / Secondary Special,Unknown,Laborers,40,13,0,11,1
Female,135000,Working,Unknown,Married,Unknown,50,15,0,13,1
Unknown,103500,Commercial Associate,Unknown,Unknown,Unknown,40,1,0,25,1
Unknown,166500,State Servant,Unknown,Married,Managers,45,13,0,18,1
Male,135000,Working,Unknown,Single / Not Married,Laborers,40,12,0,2,1
Unknown,135000,Unknown,Unknown,Married,Laborers,59,10,0,52,1
Male,292500,State Servant,Secondary / Secondary Special,Unknown,Unknown,50,7,0,15,1
Unknown,247500,Unknown,Unknown,Unknown,High Skill Tech Staff,40,7,0,34,1
Unknown,189000,Unknown,Unknown,Married,Unknown,52,7,0,18,1
Female,270000,Commercial Associate,Secondary / Secondary Special,Unknown,Secretaries,40,7,0,18,1
Male,292500,Working,Higher Education,Married,Managers,29,7,0,18,1
Male,180000,Working,Secondary / Secondary Special,Married,Unknown,40,7,1,23,1
Unknown,112500,Unknown,Unknown,Single / Not Married,Unknown,40,7,0,18,1
Female,180000,Unknown,Secondary / Secondary Special,Married,Unknown,40,7,0,11,1
Male,225000,Unknown,Secondary / Secondary Special,Married,Unknown,40,4,0,38,1
Male,225000,Working,Unknown,Married,Drivers,37,7,0,18,1
Unknown,135000,Commercial Associate,Secondary / Secondary Special,Unknown,Cooking Staff,51,7,0,18,1
Female,225000,Unknown,Higher Education,Married,Managers,40,8,0,10,1
Unknown,157500,Commercial Associate,Secondary / Secondary Special,Married,Accountants,33,6,0,31,1
Unknown,180000,Unknown,Unknown,Separated,Laborers,35,3,0,18,1
Unknown,315000,Working,Unknown,Married,Unknown,40,7,0,11,1
Male,148500,Unknown,Higher Education,Married,Unknown,40,5,0,2,1
Male,315000,Working,Unknown,Married,Laborers,40,7,0,33,1
Male,540000,Unknown,Unknown,Married,Managers,40,7,0,18,1
Male,180000,Working,Incomplete Higher,Unknown,Unknown,30,5,0,15,1
Male,211500,Unknown,Unknown,Unknown,Core Staff,40,7,2,18,1
Unknown,450000,Working,Unknown,Unknown,Laborers,52,2,0,4,1
Unknown,135000,Unknown,Secondary / Secondary Special,Unknown,Unknown,28,7,0,18,1
Female,126000,Unknown,Higher Education,Unknown,Unknown,40,7,0,28,1
Male,180000,Unknown,Secondary / Secondary Special,Married,Security Staff,36,2,0,9,1
Female,180000,Working,Higher Education,Married,Unknown,47,5,0,9,1
Male,225000,Unknown,Higher Education,Married,Unknown,37,7,0,35,1
Female,157500,Unknown,Unknown,Unknown,Core Staff,28,4,0,24,1
Male,270000,Working,Secondary / Secondary Special,Single / Not Married,Unknown,40,5,0,12,1
Male,180000,Unknown,Secondary / Secondary Special,Unknown,Drivers,40,7,0,24,1
Male,157500,Working,Secondary / Secondary Special,Unknown,Core Staff,40,4,7,18,1
Female,112500,Unknown,Unknown,Married,Core Staff,32,7,0,18,1
Unknown,157500,Unknown,Secondary / Secondary Special,Unknown,Unknown,38,7,0,27,1
Unknown,247500,Unknown,Unknown,Unknown,Unknown,49,4,0,18,1
Unknown,135000,Unknown,Secondary / Secondary Special,Married,Unknown,40,7,0,18,1
Female,247500,Working,Higher Education,Unknown,Managers,40,21,0,18,1
Female,306000,Unknown,Secondary / Secondary Special,Married,Unknown,52,9,17,20,1
Female,189000,Unknown,Unknown,Civil Marriage,Managers,45,2,0,18,1
Male,112500,Unknown,Secondary / Secondary Special,Single / Not Married,Unknown,40,5,0,4,1
Female,180000,Commercial Associate,Higher Education,Unknown,Unknown,33,7,0,18,1
Unknown,112500,Unknown,Secondary / Secondary Special,Married,Core Staff,30,6,0,18,1
Male,247500,Commercial Associate,Secondary / Secondary Special,Unknown,Unknown,42,2,0,18,1
Unknown,121500,Working,Unknown,Single / Not Married,Unknown,28,7,0,18,1
Unknown,202500,Unknown,Secondary / Secondary Special,Married,High Skill Tech Staff,36,5,0,30,1
Unknown,112500,Working,Higher Education,Married,Core Staff,25,5,0,13,1
Female,157500,Commercial Associate,Unknown,Unknown,Sales Staff,33,5,0,18,1
Male,202500,Unknown,Unknown,Unknown,Managers,47,6,0,13,1
Female,180000,Unknown,Unknown,Unknown,Unknown,40,7,2,18,1
Female,225000,Working,Secondary / Secondary Special,Single / Not Married,Sales Staff,34,2,0,7,1
Unknown,144000,Unknown,Unknown,Civil Marriage,Unknown,45,7,0,55,1
Unknown,787500,State Servant,Unknown,Married,Unknown,48,4,0,5,1
Female,135000,Working,Secondary / Secondary Special,Married,Laborers,40,9,0,2,1
Female,90000,Unknown,Unknown,Married,Laborers,40,7,0,27,1
Female,81000,Unknown,Unknown,Civil Marriage,Sales Staff,33,7,0,19,1
Male,67500,Unknown,Secondary / Secondary Special,Married,Security Staff,52,7,0,13,1
Unknown,216000,Commercial Associate,Secondary / Secondary Special,Married,Unknown,49,22,0,22,1
Male,225000,Unknown,Secondary / Secondary Special,Married,Unknown,46,1,2,37,1
Unknown,67500,Unknown,Unknown,Single / Not Married,Laborers,40,7,0,14,1
Unknown,157500,Unknown,Secondary / Secondary Special,Married,Unknown,55,7,0,18,1
Female,135000,Working,Secondary / Secondary Special,Unknown,Sales Staff,32,7,0,18,1
Female,67500,Unknown,Higher Education,Married,Unknown,39,7,0,5,1
Male,202500,Working,Unknown,Unknown,Laborers,40,7,0,18,1
Female,157500,Working,Higher Education,Unknown,Sales Staff,30,7,0,42,1
Unknown,180000,Unknown,Secondary / Secondary Special,Married,Unknown,38,7,0,30,1
Male,180000,Unknown,Unknown,Unknown,Sales Staff,30,6,0,4,1
Male,180000,Working,Secondary / Secondary Special,Single / Not Married,Unknown,40,5,0,18,1
Unknown,144000,Working,Unknown,Unknown,Laborers,40,30,0,18,1
Female,112500,Unknown,Unknown,Widow,Cooking Staff,54,2,0,18,1
Female,67500,Unknown,Unknown,Married,Laborers,46,20,0,7,1
Female,112500,Unknown,Unknown,Married,Cooking Staff,42,7,0,18,1
Unknown,202500,Working,Secondary / Secondary Special,Separated,High Skill Tech Staff,40,7,0,18,1
Female,67500,Working,Secondary / Secondary Special,Married,Accountants,31,7,0,18,1
Female,90000,Unknown,Secondary / Secondary Special,Unknown,Cleaning Staff,40,7,0,18,1
Unknown,315000,Commercial Associate,Secondary / Secondary Special,Married,Unknown,40,3,0,18,1
Female,225000,Unknown,Unknown,Single / Not Married,Unknown,40,11,0,18,1
Unknown,112500,Unknown,Unknown,Unknown,Sales Staff,42,10,0,45,1
Unknown,225000,Working,Unknown,Widow,Sales Staff,40,6,0,3,1
Female,202500,Unknown,Unknown,Unknown,Unknown,48,12,0,13,1
Unknown,90000,Working,Unknown,Unknown,Low-Skill Laborers,40,6,0,30,1
Female,135000,Unknown,Secondary / Secondary Special,Unknown,Managers,40,7,1,18,1
Female,112500,Working,Secondary / Secondary Special,Unknown,Unknown,45,10,0,10,1
Unknown,135000,Working,Higher Education,Unknown,Core Staff,30,4,0,33,1
Male,405000,Commercial Associate,Higher Education,Unknown,Unknown,45,6,0,1,1
Female,144000,Working,Unknown,Widow,Hr Staff,40,7,0,7,1
Unknown,270000,Working,Secondary / Secondary Special,Unknown,Unknown,34,7,0,35,1
Male,157500,Unknown,Secondary / Secondary Special,Married,Managers,59,14,0,18,1
Female,90000,Unknown,Secondary / Secondary Special,Married,Medicine Staff,48,7,0,59,1
Female,157500,Commercial Associate,Unknown,Single / Not Married,Unknown,40,2,0,5,1
Female,270000,Unknown,Higher Education,Widow,Managers,53,7,0,29,1
Female,67500,Working,Secondary / Secondary Special,Unknown,Unknown,51,13,0,18,1
Female,112500,Unknown,Unknown,Civil Marriage,High Skill Tech Staff,40,7,0,18,1
Male,135000,Working,Secondary / Secondary Special,Married,Drivers,27,4,0,18,1
Female,225000,Unknown,Secondary / Secondary Special,Unknown,Private Service Staff,55,11,0,51,1
Female,135000,Working,Unknown,Separated,Laborers,45,4,0,4,1
Female,112500,Working,Secondary / Secondary Special,Single / Not Married,Laborers,40,7,0,13,1
Male,112500,Working,Higher Education,Married,Accountants,40,7,1,18,1
Female,360000,Working,Higher Education,Unknown,Unknown,52,24,0,41,1
Male,168750,Unknown,Unknown,Unknown,Unknown,44,5,1,4,1
Unknown,202500,Working,Unknown,Married,Unknown,40,8,0,19,1
Female,157500,State Servant,Higher Education,Unknown,Managers,61,21,0,18,1
Female,315000,Commercial Associate,Secondary / Secondary Special,Married,Unknown,43,7,0,18,1
Female,90000,Working,Higher Education,Unknown,Laborers,40,7,0,15,1
Female,135000,Unknown,Unknown,Single / Not Married,Accountants,28,7,0,2,1
Female,184500,Working,Higher Education,Separated,Core Staff,40,13,0,58,1
Male,315000,Working,Unknown,Married,Laborers,39,6,0,18,1
Unknown,135000,Working,Unknown,Married,Laborers,40,5,0,18,1
Female,247500,Commercial Associate,Secondary / Secondary Special,Civil Marriage,Unknown,45,7,0,18,1
Female,90000,Unknown,Secondary / Secondary Special,Married,Cooking Staff,40,7,0,26,1
Unknown,292500,Working,Unknown,Unknown,Laborers,40,5,0,6,1
Female,135000,Unknown,Unknown,Married,Managers,29,8,0,46,1
Unknown,135000,Working,Secondary / Secondary Special,Widow,Unknown,40,3,0,18,1
Unknown,90000,Unknown,Higher Education,Single / Not Married,Drivers,26,5,0,26,1
Female,135000,Working,Secondary / Secondary Special,Married,Core Staff,53,35,0,19,1
Male,207000,Unknown,Unknown,Single / Not Married,Unknown,40,7,0,50,1
Female,450000,Unknown,Unknown,Unknown,Core Staff,40,3,0,18,1
Unknown,180000,Working,Secondary / Secondary Special,Married,Laborers,40,16,0,18,1
Unknown,180000,Working,Unknown,Married,Unknown,52,3,0,4,1
Male,234000,Working,Secondary / Secondary Special,Married,High Skill Tech Staff,40,7,0,34,1
Male,360000,Commercial Associate,Unknown,Unknown,Managers,40,7,0,18,1
Unknown,225000,Commercial Associate,Unknown,Civil Marriage,Sales Staff,54,7,0,18,1
Unknown,81000,Working,Unknown,Married,Cleaning Staff,65,7,0,18,1
Male,315000,Working,Unknown,Unknown,Drivers,49,7,0,20,1
Unknown,225000,Unknown,Secondary / Secondary Special,Unknown,Unknown,40,6,0,5,1
Unknown,225000,State Servant,Higher Education,Married,Unknown,40,7,0,18,1
Unknown,360000,Unknown,Higher Education,Married,Unknown,40,7,0,14,1
Unknown,315000,Working,Unknown,Unknown,Unknown,33,6,0,18,1
Unknown,225000,Working,Unknown,Single / Not Married,Laborers,40,11,0,18,1
Unknown,144000,Unknown,Secondary / Secondary Special,Unknown,Sales Staff,46,28,0,18,1
Female,121500,Unknown,Unknown,Married,Unknown,40,7,0,5,1
Female,112500,Working,Secondary / Secondary Special,Unknown,Sales Staff,40,4,0,18,1
Female,135000,Working,Unknown,Unknown,Laborers,44,10,0,18,1
Unknown,270000,Commercial Associate,Unknown,Unknown,Unknown,40,16,0,18,1
Female,67500,Commercial Associate,Higher Education,Unknown,Unknown,31,7,0,42,1
Unknown,225000,Working,Higher Education,Unknown,Unknown,40,7,0,18,1
Male,216000,Unknown,Higher Education,Married,Unknown,53,7,1,18,1
Unknown,103500,Unknown,Unknown,Unknown,Unknown,62,7,0,18,1
Female,90000,Unknown,Unknown,Married,Laborers,40,7,0,18,1
Female,360000,Working,Incomplete Higher,Married,Unknown,35,7,2,41,1
Female,202500,State Servant,Unknown,Married,Unknown,40,7,0,21,1
Unknown,90000,Commercial Associate,Unknown,Unknown,Unknown,51,4,0,18,1
Unknown,112500,Unknown,Secondary / Secondary Special,Unknown,Unknown,36,7,0,13,1
Unknown,270000,Working,Unknown,Married,Realty Agents,40,8,0,2,1
Female,148500,Working,Higher Education,Married,Core Staff,49,3,1,18,1
Female,157500,Working,Unknown,Married,Unknown,42,7,0,46,1
Female,234000,Working,Secondary / Secondary Special,Civil Marriage,Cleaning Staff,41,3,0,21,1
Female,112500,Unknown,Incomplete Higher,Unknown,Unknown,30,10,0,31,1
Female,62654,Unknown,Unknown,Separated,Sales Staff,54,7,0,7,1
Unknown,121500,Unknown,Secondary / Secondary Special,Unknown,Laborers,38,1,0,1,1
Female,315000,Commercial Associate,Higher Education,Married,Sales Staff,45,1,0,18,1
Male,222750,Working,Unknown,Unknown,Unknown,47,7,0,54,1
Female,90000,Working,Unknown,Unknown,Laborers,32,7,0,18,1
Female,247500,Unknown,Secondary / Secondary Special,Married,Unknown,50,7,0,18,1
Male,103500,Unknown,Secondary / Secondary Special,Unknown,Managers,34,13,0,18,1
Male,247500,Working,Unknown,Unknown,Drivers,50,4,0,48,1
Female,252000,Unknown,Unknown,Widow,Managers,46,23,0,33,1
Female,121500,Working,Secondary / Secondary Special,Unknown,Laborers,40,1,0,18,1
Unknown,135000,State Servant,Unknown,Married,Unknown,43,7,0,4,1
Male,517500,Commercial Associate,Higher Education,Single / Not Married,Core Staff,30,7,0,20,1
Unknown,157500,Unknown,Secondary / Secondary Special,Married,Sales Staff,30,7,0,18,1
Unknown,270000,Unknown,Secondary / Secondary Special,Civil Marriage,Drivers,47,4,0,13,1
Male,180000,Working,Secondary / Secondary Special,Single / Not Married,Laborers,41,5,0,18,1
Unknown,67500,Working,Secondary / Secondary Special,Unknown,Unknown,40,7,0,3,1
Unknown,270000,Working,Secondary / Secondary Special,Unknown,Unknown,34,7,0,35,1
Unknown,103500,Working,Secondary / Secondary Special,Married,Laborers,56,7,0,18,1
Male,405000,Unknown,Higher Education,Married,Managers,32,7,0,18,1
Male,157500,Commercial Associate,Higher Education,Separated,Unknown,40,4,1,13,1
Unknown,112500,Working,Unknown,Married,High Skill Tech Staff,51,7,0,18,1
Female,247500,Unknown,Secondary / Secondary Special,Civil Marriage,Laborers,40,1,0,18,1
Unknown,216000,Commercial Associate,Higher Education,Unknown,Laborers,40,6,0,5,1
Male,180000,Working,Unknown,Single / Not Married,Unknown,40,2,0,49,1
Female,180000,Commercial Associate,Secondary / Secondary Special,Married,Managers,23,7,0,4,1
Unknown,450000,Unknown,Higher Education,Single / Not Married,Unknown,56,9,0,23,1
Male,337500,Unknown,Unknown,Unknown,Core Staff,32,10,0,6,1
Female,180000,Working,Unknown,Married,Laborers,29,7,0,2,1
Unknown,247500,Unknown,Secondary / Secondary Special,Married,Drivers,40,5,0,23,1
Unknown,157500,Unknown,Unknown,Married,Core Staff,39,7,0,22,1
Female,207000,Working,Secondary / Secondary Special,Single / Not Married,Cooking Staff,40,7,0,43,1
Female,157500,Unknown,Unknown,Unknown,Managers,40,7,0,7,1
