applicant_gender,total_income,income_type,education_type,family_status,job_title,applicant_age,years_of_working,total_bad_debt,total_good_debt,status
,,Working,Higher Education,,Sales Staff,43,,0,,1
Female,112500,Working,Secondary / Secondary Special,Single / Not Married,,23,4,0,17,1
Female,112500,,,Married,,37,18,,25,1
Male,202500,Working,,,Laborers,52,,2,40,1
Female,,,Incomplete Higher,Civil Marriage,,,9,,,1
Female,,Commercial Associate,Secondary / Secondary Special,Married,,,9,,6,1
Female,297000,Commercial Associate,Secondary / Secondary Special,Single / Not Married,Laborers,43,9,0,,1
Male,,Working,Secondary / Secondary Special,Married,Laborers,36,,0,40,1
Female,225000,Commercial Associate,Secondary / Secondary Special,,,34,1,0,,1
,180000,,,Civil Marriage,,,9,0,7,1
Female,,Working,Secondary / Secondary Special,Civil Marriage,Sales Staff,,4,,,1
,,,Secondary / Secondary Special,Married,,60,3,0,,1
,112500,,,Civil Marriage,Drivers,,3,0,50,1
Male,,Working,,,Sales Staff,,9,0,10,1
Male,,Working,Secondary / Secondary Special,Married,,41,,,1,1
Female,,,Higher Education,,Sales Staff,,9,0,33,1
Female,,,Incomplete Higher,Married,Managers,52,,0,,1
,157500,Working,Higher Education,,Sales Staff,36,,,,1
,157500,,,,,,3,,6,1
Female,135000,Commercial Associate,,,Laborers,,7,0,,1
,135000,Working,Secondary / Secondary Special,Separated,,,3,,39,1
,360000,Commercial Associate,Higher Education,,,41,7,0,,1
,225000,State Servant,,Married,High Skill Tech Staff,30,5,0,30,1
Female,157500,,Secondary / Secondary Special,Married,,51,20,,24,1
Female,,Working,Higher Education,Single / Not Married,,,,,,1
,,,Secondary / Secondary Special,,Laborers,,,,,1
Male,225000,Working,,Single / Not Married,,,8,3,,1
Female,171000,,,Married,Core Staff,41,4,,17,1
,315000,,,Married,Managers,59,15,0,,1
Female,157500,Working,Higher Education,Married,High Skill Tech Staff,36,6,,41,1
,135000,Working,,Married,,44,6,,,1
Female,,Working,Secondary / Secondary Special,Married,,,7,,,1
,270000,Working,Higher Education,Married,Sales Staff,29,,,,1
Male,157500,Working,Secondary / Secondary Special,Married,,36,,0,,1
,292500,Commercial Associate,Secondary / Secondary Special,Civil Marriage,,49,,0,5,1
Female,216000,,Secondary / Secondary Special,,Managers,,10,,5,1
,450000,State Servant,,,,,16,0,7,1
Female,112500,Working,Secondary / Secondary Special,,,,,,,1
,247500,Commercial Associate,Secondary / Secondary Special,,,,7,,14,1
Male,360000,Commercial Associate,,Married,Laborers,,2,0,,1
Female,135000,Working,,,Sales Staff,,7,0,54,1
Female,,Working,Secondary / Secondary Special,Married,Core Staff,32,,0,33,1
Female,,,Secondary / Secondary Special,,Managers,42,,,8,1
,72000,Working,Secondary / Secondary Special,Widow,,55,,,6,1
,270000,Working,Secondary / Secondary Special,Married,Laborers,33,2,0,,1
,,Working,,Married,Managers,,11,,54,1
Male,112500,Working,Secondary / Secondary Special,,,32,,0,,1
Female,135000,State Servant,,,Laborers,50,16,0,,1
Male,,Working,Higher Education,Married,,,6,,,1
Male,225000,Working,Secondary / Secondary Special,,,24,2,0,5,1
,180000,Working,Higher Education,,,43,8,,,1
Female,225000,,Higher Education,,Sales Staff,30,1,0,,1
Female,81000,Working,Secondary / Secondary Special,Married,,,21,,,1
,135000,State Servant,Secondary / Secondary Special,Married,Core Staff,,17,,7,1
,135000,Working,Secondary / Secondary Special,Married,Managers,,21,0,30,1
,112500,Commercial Associate,,,Medicine Staff,53,4,,17,1
,,Working,Secondary / Secondary Special,Married,Laborers,60,7,0,,1
Female,,Commercial Associate,Higher Education,,Laborers,,,0,1,1
Male,,Working,Secondary / Secondary Special,Married,Laborers,,4,,13,1
Female,112500,Working,Higher Education,Married,,,2,0,,1
Male,144000,Working,,Civil Marriage,Security Staff,47,6,1,5,1
Female,135000,Commercial Associate,Higher Education,Married,Managers,,,,39,1
Female,180000,,,,,,,0,8,1
Female,112500,Working,,Single / Not Married,,45,6,,44,1
Male,,Working,,Married,,,5,,28,1
Female,,,Higher Education,,Secretaries,51,5,,44,1
Female,,Working,Secondary / Secondary Special,,Core Staff,52,3,,53,1
,202500,,Secondary / Secondary Special,,Security Staff,57,1,0,8,1
Female,,,,Married,Accountants,,10,,,1
Male,,,Secondary / Secondary Special,Married,Drivers,43,,,,1
Male,225000,Commercial Associate,,Married,,48,1,,6,1
Female,,,,Single / Not Married,Laborers,,6,,,1
,,,Secondary / Secondary Special,Married,Laborers,27,3,1,,1
Female,,Working,Secondary / Secondary Special,Separated,Laborers,54,1,,41,1
Female,,,,Separated,,,2,0,22,1
,180000,Working,Secondary / Secondary Special,,,,12,0,,1
Female,135000,Commercial Associate,Secondary / Secondary Special,Married,Medicine Staff,,,,,1
Female,112500,Commercial Associate,Higher Education,Civil Marriage,,29,9,0,13,1
,180000,,Higher Education,Married,,42,6,,10,1
,,Working,,,Sales Staff,54,,,,1
Female,130500,Working,,Married,,,26,,,1
,292500,Commercial Associate,Secondary / Secondary Special,Married,Laborers,43,,,,1
Female,225000,Commercial Associate,Higher Education,Married,,,,1,5,1
Female,297000,Commercial Associate,Secondary / Secondary Special,Single / Not Married,Laborers,43,,,16,1
,,,Incomplete Higher,Married,,49,,0,7,1
,315000,,,Married,,38,10,,,1
,90000,Working,Secondary / Secondary Special,,Core Staff,52,,0,38,1
Female,,State Servant,,,Core Staff,,12,,2,1
Female,,Commercial Associate,,Widow,Sales Staff,56,,0,,1
Female,315000,Working,Higher Education,,Medicine Staff,36,7,0,32,1
Female,67500,,Secondary / Secondary Special,,,,1,,14,1
Male,225000,,Higher Education,,Sales Staff,28,7,0,15,1
,,Commercial Associate,Secondary / Secondary Special,Married,Waiters/Barmen Staff,52,,,,1
Male,135000,,Higher Education,,Managers,33,,0,22,1
Female,90000,Working,Secondary / Secondary Special,Single / Not Married,Laborers,29,3,,12,1
Female,112500,,,Married,Core Staff,41,2,0,50,1
,180000,Commercial Associate,Secondary / Secondary Special,Married,,39,,,,1
Female,,,Secondary / Secondary Special,Married,,43,7,0,22,1
Female,112500,State Servant,,Widow,Secretaries,,,,31,1
Female,157500,,Secondary / Secondary Special,Married,Core Staff,,9,,37,1
,,Commercial Associate,Higher Education,,Core Staff,28,4,1,,1
Female,135000,,Higher Education,Married,Sales Staff,,3,,7,1
Male,247500,Working,,,,39,,,5,1
,,,Secondary / Secondary Special,Married,Laborers,,13,3,19,1
,202500,,Higher Education,Married,,36,4,0,22,1
,180000,Commercial Associate,Higher Education,Separated,Core Staff,29,,0,,1
Female,135000,Working,Secondary / Secondary Special,,Core Staff,38,,,12,1
,90000,,Secondary / Secondary Special,Married,,54,,0,,1
,135000,Commercial Associate,Secondary / Secondary Special,,,31,3,,6,1
,292500,,Higher Education,Single / Not Married,Laborers,39,,8,,1
Male,135000,Working,Secondary / Secondary Special,,,41,,0,,1
,180000,Commercial Associate,Secondary / Secondary Special,Single / Not Married,Private Service Staff,32,4,0,44,1
,,Commercial Associate,,,,48,1,0,18,1
,,Commercial Associate,,Married,,,5,,,1
,,,Secondary / Secondary Special,Married,,55,14,0,,1
,135000,Commercial Associate,Secondary / Secondary Special,Married,,31,,,2,1
Female,202500,Working,Secondary / Secondary Special,Married,High Skill Tech Staff,54,18,1,,1
Female,,Commercial Associate,,Civil Marriage,Private Service Staff,34,13,,28,1
,,Commercial Associate,Higher Education,,,54,5,,,1
Male,225000,Working,,Married,,,3,,,1
,112500,,Secondary / Secondary Special,Single / Not Married,Sales Staff,25,4,,,1
,,Commercial Associate,Secondary / Secondary Special,Married,,42,8,3,28,1
Male,,Working,Higher Education,Single / Not Married,Laborers,41,18,0,24,1
Female,,State Servant,,,Laborers,30,,,,1
Female,225000,,,Civil Marriage,Private Service Staff,,,0,10,1
,90000,Working,,Married,High Skill Tech Staff,36,11,0,32,1
Female,270000,State Servant,Secondary / Secondary Special,Civil Marriage,Medicine Staff,35,,,9,1
,,,,Widow,Security Staff,56,,0,27,1
,153000,,Secondary / Secondary Special,Married,Laborers,,,1,20,1
,,Working,Higher Education,Married,,,7,0,,1
Male,202500,Commercial Associate,,Married,Drivers,43,5,,38,1
Male,126000,Working,,Single / Not Married,Core Staff,35,,3,10,1
,157500,,,,,,,,5,1
Male,,Working,Secondary / Secondary Special,Civil Marriage,,,,0,,1
,,Commercial Associate,Higher Education,Married,,25,3,0,21,1
Female,,Working,Secondary / Secondary Special,,Laborers,49,,0,,1
,180000,,Secondary / Secondary Special,Married,Laborers,38,2,,14,1
Female,,,,Married,Accountants,31,,,14,1
Female,,Working,Incomplete Higher,Civil Marriage,Medicine Staff,,1,5,29,1
,202500,,Secondary / Secondary Special,Married,,51,,,,1
Female,,,,,Cooking Staff,29,3,,12,1
Female,,Working,Secondary / Secondary Special,,,,3,0,20,1
Female,,,Higher Education,Married,Core Staff,,9,0,22,1
Female,189000,Working,,,,30,8,,15,1
,,State Servant,,,,52,24,0,,1
Female,337500,,Secondary / Secondary Special,,,,5,,19,1
Female,74250,,Higher Education,Separated,Core Staff,53,,0,35,1
Male,270000,,Secondary / Secondary Special,,Core Staff,34,,,38,1
Female,,,Higher Education,Married,Sales Staff,34,9,0,,1
Female,,Working,Secondary / Secondary Special,Single / Not Married,,46,27,,,1
Female,135000,Working,,,,37,,,1,1
,,,Higher Education,,Managers,32,5,,2,1
Female,283500,Commercial Associate,Secondary / Secondary Special,Married,Private Service Staff,49,,0,3,1
Male,405000,,Secondary / Secondary Special,Married,Managers,,,,15,0
,,,Higher Education,,,,,0,,1
,,,Secondary / Secondary Special,Married,Medicine Staff,,3,0,10,1
,,,Secondary / Secondary Special,,,,5,0,9,1
Female,90000,,,,Medicine Staff,,2,,10,1
Female,135000,Working,Secondary / Secondary Special,Married,,,3,,,1
Male,,State Servant,,,,,3,0,,1
Female,,,Higher Education,,Sales Staff,32,4,0,11,1
,126000,Working,,,Laborers,63,,,,1
Female,,,,Married,Cleaning Staff,,,0,11,1
,135000,,Secondary / Secondary Special,Single / Not Married,Sales Staff,,2,0,,1
Male,,,,Married,,41,,0,,1
Female,,,Secondary / Secondary Special,Married,Core Staff,,20,,29,1
Female,157500,,,,Managers,51,,,,1
Male,292500,Working,Secondary / Secondary Special,,Laborers,,13,,11,1
Male,,Working,,,,,7,0,12,1
Female,135000,Working,,Married,,50,15,0,13,1
Female,,,,Married,,41,4,0,,1
,103500,Commercial Associate,,,,,1,,25,1
,,Working,,,Laborers,37,14,0,19,1
,,Working,Incomplete Higher,Married,Accountants,30,,,,1
Male,,,Incomplete Higher,,,33,,4,50,1
,166500,State Servant,,Married,Managers,45,13,0,,1
Female,,Working,Secondary / Secondary Special,Married,Low-Skill Laborers,54,12,0,,1
Female,,,,Separated,Sales Staff,42,,,,1
Male,135000,Working,,Single / Not Married,Laborers,,12,,2,1
,,,Higher Education,,,28,3,,,1
Male,,Working,Higher Education,Married,High Skill Tech Staff,45,,0,31,1
,,Working,,,Drivers,,3,0,5,1
,,Working,,,Drivers,32,3,0,31,1
,135000,,,Married,Laborers,59,10,,52,1
Male,292500,State Servant,Secondary / Secondary Special,,,50,,0,15,1
,247500,,,,High Skill Tech Staff,,,0,34,1
,189000,,,Married,,52,,0,18,1
Female,270000,Commercial Associate,Secondary / Secondary Special,,Secretaries,,,0,,1
,,,,,,,,0,8,1
,,,Secondary / Secondary Special,,Cleaning Staff,52,5,0,16,1
Male,292500,Working,Higher Education,Married,Managers,29,7,0,,1
Male,,,Incomplete Higher,,,60,6,,,1
Male,180000,Working,Secondary / Secondary Special,Married,,,,1,23,1
,112500,,,Single / Not Married,,,7,0,,1
Female,180000,,Secondary / Secondary Special,Married,,,,0,11,1
Female,,Commercial Associate,,Married,Core Staff,23,2,0,8,1
Male,225000,,Secondary / Secondary Special,Married,,,4,,38,1
Male,225000,Working,,Married,Drivers,37,,0,,1
,135000,Commercial Associate,Secondary / Secondary Special,,Cooking Staff,51,7,,,1
Female,225000,,Higher Education,Married,Managers,,8,0,10,1
,157500,Commercial Associate,Secondary / Secondary Special,Married,Accountants,33,6,0,31,1
,180000,,,Separated,Laborers,35,3,,,1
,315000,Working,,Married,,,,0,11,1
Male,148500,,Higher Education,Married,,,5,0,2,1
Female,,Working,Secondary / Secondary Special,Married,,55,6,,,1
Male,315000,Working,,Married,Laborers,,,0,33,1
Female,,Commercial Associate,,,Core Staff,38,8,,19,1
Male,540000,,,Married,Managers,,,,,1
Male,180000,Working,Incomplete Higher,,,30,5,0,15,1
Male,211500,,,,Core Staff,,,2,,1
,,,Secondary / Secondary Special,,,25,5,,1,1
Female,,,,,,,,0,,1
Female,,Commercial Associate,Higher Education,Civil Marriage,,39,11,,47,1
,450000,Working,,,Laborers,52,2,0,4,1
,135000,,Secondary / Secondary Special,,,28,,,18,1
Female,126000,,Higher Education,,,,,,28,1
Male,,Working,,Married,,31,13,0,13,1
Male,180000,,Secondary / Secondary Special,Married,Security Staff,36,2,,9,1
Male,,Working,Higher Education,Married,,29,3,,11,1
Male,,Commercial Associate,Secondary / Secondary Special,Married,Laborers,36,7,0,3,1
Female,,Working,,Married,Managers,,,,,1
Male,,Commercial Associate,Higher Education,Married,,48,6,,,1
,,Working,,Married,Core Staff,43,,0,11,1
Female,,State Servant,Secondary / Secondary Special,,Managers,,16,,,1
Female,180000,Working,Higher Education,Married,,47,5,0,9,1
Male,225000,,Higher Education,Married,,37,,,35,1
Female,157500,,,,Core Staff,28,4,,24,1
Female,,,Incomplete Higher,,Accountants,,3,0,,1
,,Commercial Associate,Secondary / Secondary Special,Married,,44,7,1,22,1
Male,270000,Working,Secondary / Secondary Special,Single / Not Married,,,5,,12,1
Female,,Working,,,,39,,0,,1
Male,180000,,Secondary / Secondary Special,,Drivers,,,0,24,1
Male,157500,Working,Secondary / Secondary Special,,Core Staff,,4,7,,1
Female,112500,,,Married,Core Staff,32,,,,1
,,Working,,Married,Drivers,,4,0,,1
Female,,Commercial Associate,Secondary / Secondary Special,Married,,,12,0,34,1
,,Working,,Married,Cleaning Staff,44,18,0,40,1
,157500,,Secondary / Secondary Special,,,38,,,27,1
Male,,Working,Lower Secondary,Married,Laborers,37,2,0,40,1
,247500,,,,,49,4,0,,1
,135000,,Secondary / Secondary Special,Married,,,,0,,1
Female,247500,Working,Higher Education,,Managers,,21,0,,1
Female,306000,,Secondary / Secondary Special,Married,,52,9,17,20,1
Female,189000,,,Civil Marriage,Managers,45,2,,,1
Female,,,,Married,Sales Staff,55,,0,25,1
Male,112500,,Secondary / Secondary Special,Single / Not Married,,,5,,4,1
Female,180000,Commercial Associate,Higher Education,,,33,,0,,1
,112500,,Secondary / Secondary Special,Married,Core Staff,30,6,0,,1
Male,,Commercial Associate,,Married,,,,0,15,1
Male,247500,Commercial Associate,Secondary / Secondary Special,,,42,2,0,,1
,121500,Working,,Single / Not Married,,28,,0,,1
,202500,,Secondary / Secondary Special,Married,High Skill Tech Staff,36,5,0,30,1
,,,Higher Education,,Managers,34,2,0,,1
,112500,Working,Higher Education,Married,Core Staff,25,5,0,13,1
Female,157500,Commercial Associate,,,Sales Staff,33,5,,,1
,,,Secondary / Secondary Special,Married,,,1,0,21,1
Male,202500,,,,Managers,47,6,,13,1
Female,180000,,,,,,,2,,1
Female,225000,Working,Secondary / Secondary Special,Single / Not Married,Sales Staff,34,2,,7,1
,144000,,,Civil Marriage,,45,,,55,1
Female,,,Secondary / Secondary Special,Married,Sales Staff,,,0,38,1
Male,,Working,Higher Education,Married,Sales Staff,29,,0,39,1
,,Working,Secondary / Secondary Special,Married,Laborers,,13,0,,1
,787500,State Servant,,Married,,48,4,0,5,1
Male,,Working,Lower Secondary,Married,Laborers,28,,,,1
,,State Servant,Secondary / Secondary Special,Married,Drivers,39,19,,,1
Female,135000,Working,Secondary / Secondary Special,Married,Laborers,,9,0,2,1
Female,90000,,,Married,Laborers,,,,27,1
Female,,State Servant,Secondary / Secondary Special,,,51,1,,,1
Female,,Working,,Married,,,1,,24,1
Female,81000,,,Civil Marriage,Sales Staff,33,,,19,1
Male,67500,,Secondary / Secondary Special,Married,Security Staff,52,,,13,1
Female,,State Servant,,,,49,23,0,7,1
,,,Secondary / Secondary Special,,Sales Staff,39,,0,35,1
Male,,Commercial Associate,Secondary / Secondary Special,Married,Drivers,,,0,,1
,216000,Commercial Associate,Secondary / Secondary Special,Married,,49,22,0,22,1
Male,225000,,Secondary / Secondary Special,Married,,46,1,2,37,1
Male,,Commercial Associate,,Single / Not Married,Cooking Staff,27,5,0,,1
Male,,Working,Secondary / Secondary Special,,Laborers,,7,,17,1
,67500,,,Single / Not Married,Laborers,,,0,14,1
Female,,Working,,Married,,,,,,1
,157500,,Secondary / Secondary Special,Married,,55,,0,,1
Female,135000,Working,Secondary / Secondary Special,,Sales Staff,32,,0,,1
Female,,Commercial Associate,Higher Education,Civil Marriage,Accountants,39,,,16,1
Female,67500,,Higher Education,Married,,39,,,5,1
,,,,,,,35,,15,1
Male,,Working,Secondary / Secondary Special,,,46,13,0,,1
Male,202500,Working,,,Laborers,,,,,1
Female,157500,Working,Higher Education,,Sales Staff,30,,0,42,1
Female,,,Higher Education,,Core Staff,,,,45,1
,180000,,Secondary / Secondary Special,Married,,38,,0,30,1
Male,180000,,,,Sales Staff,30,6,,4,1
Female,,,,Married,Sales Staff,52,14,,27,1
Male,,Working,Secondary / Secondary Special,Single / Not Married,,35,15,,24,1
Female,,Commercial Associate,Secondary / Secondary Special,Married,Sales Staff,30,6,,,1
Male,180000,Working,Secondary / Secondary Special,Single / Not Married,,,5,,,1
,144000,Working,,,Laborers,,30,,,1
Female,,,Higher Education,,,,1,1,11,1
Female,112500,,,Widow,Cooking Staff,54,2,,,1
Female,67500,,,Married,Laborers,46,20,,7,1
Female,112500,,,Married,Cooking Staff,42,,0,,1
,202500,Working,Secondary / Secondary Special,Separated,High Skill Tech Staff,,,,,1
Female,67500,Working,Secondary / Secondary Special,Married,Accountants,31,,0,,1
,,Working,,,,33,14,,7,1
Male,,State Servant,,Married,Drivers,42,1,,,1
Female,90000,,Secondary / Secondary Special,,Cleaning Staff,,,,,1
,315000,Commercial Associate,Secondary / Secondary Special,Married,,,3,0,,1
Male,,,Secondary / Secondary Special,Married,,,10,0,12,1
Female,225000,,,Single / Not Married,,,11,0,,1
,,,Secondary / Secondary Special,Married,High Skill Tech Staff,,,,,1
,,Working,Higher Education,Married,,,10,0,21,1
,112500,,,,Sales Staff,42,10,,45,1
Female,,,Secondary / Secondary Special,,Laborers,52,6,,,1
,,,,Married,Laborers,,,,,1
,225000,Working,,Widow,Sales Staff,,6,,3,1
Female,202500,,,,,48,12,,13,1
Female,,,,Married,Medicine Staff,,20,,,1
,90000,Working,,,Low-Skill Laborers,,6,,30,1
Female,135000,,Secondary / Secondary Special,,Managers,,,1,,1
Female,112500,Working,Secondary / Secondary Special,,,45,10,,10,1
,135000,Working,Higher Education,,Core Staff,30,4,0,33,1
Male,405000,Commercial Associate,Higher Education,,,45,6,0,1,1
,,,Secondary / Secondary Special,,Medicine Staff,,,,,1
,,,,,,39,,0,32,1
Female,144000,Working,,Widow,Hr Staff,40,,0,7,1
,270000,Working,Secondary / Secondary Special,,,34,,0,35,1
Female,,Working,Secondary / Secondary Special,,,44,9,0,14,1
,,,Higher Education,Married,,51,21,0,13,1
Male,157500,,Secondary / Secondary Special,Married,Managers,59,14,0,,1
Female,,,,,Laborers,31,12,0,30,1
Female,90000,,Secondary / Secondary Special,Married,Medicine Staff,48,,0,59,1
Male,,,,Civil Marriage,,49,,0,,1
Female,157500,Commercial Associate,,Single / Not Married,,,2,0,5,1
Male,,Working,Secondary / Secondary Special,,,44,7,,12,1
Female,270000,,Higher Education,Widow,Managers,53,,0,29,1
,,Working,Secondary / Secondary Special,Married,Laborers,,6,0,,1
,,,,Married,,48,7,0,40,1
,,Commercial Associate,Secondary / Secondary Special,Single / Not Married,Cleaning Staff,38,,0,35,1
Female,67500,Working,Secondary / Secondary Special,,,51,13,0,,1
Female,112500,,,Civil Marriage,High Skill Tech Staff,,,,,1
Male,,Working,Secondary / Secondary Special,,Laborers,48,,0,,1
Male,,Working,Higher Education,Married,,37,3,0,44,1
,,Working,Secondary / Secondary Special,,Drivers,27,,0,9,1
Male,135000,Working,Secondary / Secondary Special,Married,Drivers,27,4,0,,1
Female,225000,,Secondary / Secondary Special,,Private Service Staff,55,11,,51,1
Female,135000,Working,,Separated,Laborers,45,4,,4,1
Female,112500,Working,Secondary / Secondary Special,Single / Not Married,Laborers,,,0,13,1
Female,,,,Separated,Core Staff,36,,0,41,1
